Ciudad Entidad,Departamento Entidad,Fecha,Valor real,Valor Proyectado,Tamaño valor extraño,Similitud de valor,veces la predicción
PUERTO ASÍS,PUTUMAYO,2023,7017.429873692449,6654.639326751231,-27.187610359778056,113.6829497243957,1576.424315728103
PUERTO BERRÍO,ANTIOQUIA,2023,4138.780957745226,4580.6915206432395,-21.703088109446316,17.62319412016626,142.63235277846172
PUERTO BOYACÁ,BOYACÁ,2023,3833.5736325631724,2533.3773404210806,-5.328679537127109,63.39642092617885,1617.9937706377505
PUERTO CAICEDO,PUTUMAYO,2023,52.19718035974719,778.2133051633831,-6.499902503201811,9.40640793843573,125.71101042276035
PUERTO CARREÑO,VICHADA,2023,2110.4428616044315,3349.847350605578,-19.83054507897595,104.96310601160756,1534.3085541838652
PUERTO COLOMBIA,ATLÁNTICO,2023,2725.8507632932874,2644.540947586299,-11.075938363174053,65.1148775649508,3013.2210244057214
PUERTO CONCORDIA,META,2023,0.323992736955125,0.2,-0.0003284338076923105,0.0705895578060427,1.619963684775625
PUERTO ESCONDIDO,CÓRDOBA,2023,105.82148253869406,159.23641202449807,-0.9188844197938218,10.705757239835567,372.4632890537641
PUERTO GAITÁN,META,2023,225.60861553653308,477.19860884398213,-3.1491571465483816,32.607278050953326,216.12617224520386
PUERTO GUZMÁN,PUTUMAYO,2023,350.9296014117181,681.4508920848365,-4.3728173328075695,18.06954705091324,265.69967660774876
PUERTO LIBERTADOR,CÓRDOBA,2023,15.481265340282818,53.728663134574845,-0.3974363330195526,2.1788917466815474,46.87493641744373
PUERTO LLERAS,META,2023,1.19400580503305,0.2,0.003430966192307677,0.0005231298681161,5.97002902516525
PUERTO LÓPEZ,META,2023,1353.0376487615656,1395.507229369879,-6.213619332609613,22.095612250247658,446.16405712414104
PUERTO NARE,ANTIOQUIA,2023,377.35423821107685,419.78463828563713,-1.9972702468139054,12.554769127031802,124.88922419124857
PUERTO PARRA,SANTANDER,2023,52.019322001138434,399.8662361264226,-3.2309317183779207,5.610803224742125,56.01180845597278
PUERTO RICO,CAQUETÁ,2023,100.68653299043804,374.65874638557443,-2.802789199002226,12.728162676253918,76.86740098251903
PUERTO RICO,META,2023,55.92548280981545,257.70968885421735,-1.9855119559274743,6.374637245483664,181.48512957386268
PUERTO RONDÓN,ARAUCA,2023,6.655374101573821,12.3397239685059,-0.07788354642378342,0.6580472871705774,23.947449439104922
PUERTO SALGAR,CUNDINAMARCA,2023,604.539010605844,1274.1955534130336,-8.399549200651487,32.423002219565106,431.66617590912057
PUERTO SANTANDER,NORTE DE SANTANDER,2023,92.51866475205357,28.814265024662028,0.15076322093784073,1.2407999648603318,396.74063076470446
PUERTO TEJADA,CAUCA,2023,374.48436354308177,377.41835117340105,-1.6435346030579727,12.268333432973535,1281.7147755218507
PUERTO TRIUNFO,ANTIOQUIA,2023,3362.8340615255556,3122.7675395309934,-12.456394740447463,21.174890619175184,201.53443017893662
PUERTO WILCHES,SANTANDER,2023,73.0744593387891,241.64261143803594,-1.7725553799427862,13.327179088129057,165.2358715357512
PUPIALES,NARIÑO,2023,157.9448538816121,304.9118055611849,-1.9526063024822775,16.080361979940477,419.1752468853182
PURACÉ,CAUCA,2023,3.019038147007208,15.5068416595459,-0.12096722787445313,1.889339881770107,14.247135692459887
PURIFICACIÓN,TOLIMA,2023,403.68615060335077,566.0158441811797,-3.1472426278612615,26.238089946838123,295.9551552375498
PURÍSIMA,CÓRDOBA,2023,4.5567264218903,43.1127288818359,-0.3528974907061888,1.5359773553628293,21.631984547895318
PÁCORA,CALDAS,2023,212.94689606390918,285.88597792983063,-1.5505134109954795,8.72111950450062,98.35591526762451
PÁEZ,BOYACÁ,2023,6.047767148200122,70.2347759246826,-0.580847892919576,1.6493976809454125,10.192704566811718
PÁRAMO,SANTANDER,2023,20.01179787508384,377.0427521228795,-3.171994528572678,5.002261648439805,13.272959169509745
QUEBRADANEGRA,CUNDINAMARCA,2023,3.4873745081668983,93.0434383392335,-0.7890278820473291,2.362466701913926,1.8939373528896826
QUETAME,CUNDINAMARCA,2023,0.16662483614835,37.0016212463379,-0.3190542655079821,0.475321000562515,0.004503176632154763
QUIBDÓ,CHOCÓ,2023,18487.981299246032,11838.417688599227,-22.42147702878766,190.67617298959473,4534.778699635328
